original_dosc;score
08.05.2013Митин Виталий Михайлович чернобылец  адвокат   mitinvm-adv@ngs.ru  Во всем виноват Сурков!  Юрий Васильевич!Как бы с Вашей помощью мне опубликовать мои наработки?До Путина и до МИД не достучаться - спрятались они от народа...Друзья!!!Наконец мне удалось найти ИДЕАЛЬНОЕ объяснение моей всегда ПРАВИЛЬНОЙ позиции по Курилам!Но пасаран !!!Открытое обращение-70 к В.Путину:Япония лишена прав на Курилы – это отмене не подлежит.Уважаемый Владимир Владимирович!Предлагаю принципиально новую позицию России по южным Курилам:Япония лишена прав на южные Курилы союзниками-победителями – и это совместное решение союзников отмене не подлежит Россией.Всё  все споры  все дискуссии  все переговоры  все обсуждения  все заявления МИД России  отныне Россия должна делать только под этим лозунгом: Япония лишена прав на Курилы – это отмене не подлежит.Реальное лишение прав Японии на южные Курилы союзники оформили в п.1 и 3 Меморандума главнокомандующего Союзных Держав № 677 от 29 января 1946 г. : ИСКЛЮЧАЯ: в) Курильские (Тисима) о-ва  Группу о-вов Хабомаи (Хабомадзе)…  а также о-в Сикотан .Всё  именно этот конкретный документ поставил окончательную точку в споре о наличии или отсутствии прав Японии на южные Курилы.;0
оявляется товар - появляется спрос.  ХКП.хехе  Патриот это кому баксы нужны?  Спамеров я баню.хехе  А я тебе говорила !!!! Все кто мог уже убег.  Забанил гада  (кстати рожи ейтого поца не нашел я в инете)  и спи спокойно  Да. Остальные  под молитву Великому Путину и звуки гимна сесесер  идут в биореактор!  там долго еще  территорий много  но и скорость высокая  но все равно долг;-1
Капиталист Энельс спонсировал научную работу. По моему это только означает только то  что он был умный и дальновидный человек. Для прогресса/эволюции нужен опыт  для опыта нужны теории  для теорий нужно это всё словами  выработать общие термины. Так что мужики всё правильно сделали.Кстати  а где Маркс призывал забирать у капиталистов принадлежащие им фабрики? И каким способом?  Мир  а точнее сам человек - весьма противоречив. Бывает  что капиталисты думают о том  как сделать его лучше  уничтожить эксплуатацию одних людей другими  а рабочие радуются что у них есть в принципе работа  благословляют хозяев и думают как бы скопить денег и открыть лавочку  в которой они будут эксплуатировать себя и свою семью  работая ненормированный рабочий день))).  ))  Два пидора  На манчестерской фабрике  принадлежавшей Фридриху Энгельсу  рабочие трудились в тяжелейших условиях по 13 часов в день. Денег  которые зарабатывали эти люди  с трудом хватало на пропитание  а ещё их постоянно штрафовали  снижая и без того нищенские расценки.А источник этой информации не укажите? Читал как раз обратное.;-1
 бы тоже переживала. а еще бы боялась ездить по таким дорогам - ведь стараясь не задавить какого-то пушистика  можно  не желая того  и в аварию попасть :(  Не думаю  что это Германская специфика. У нас каждый год лосей сбивают. Водители  как правило  оказываются либо в больнице  либо на кладбище.  Однажды мы ехали с мужем домой ночью  и под колеса внезапно бросилась кошка. Он и глазом не моргнул  руль крутанул и вроде как объехал. Но я ему не поверила  за оставшиеся 10 минут до дома измучила его своими переживаниями  и в итоге он меня высадил и поехал обратно проверять)) Утверждает  что не задавили  и что я бы точно почувствовала удар. Не знаю  правда это или он меня просто успокаивал  но с тех пор у меня просто панический страх по поводу животных под колесами. Я за рулем с июля и практически каждый день думаю об этом  когда еду! Один раз это все же случилось  мне тоже кошка наперерез побежала  но я ехала медленно и успела дать по тормозам;-1
Вот я и спрашиваю - а как с белизной и пушистостью ислама увязать то  что припадки  радикального исламизьма  происходяь а)не в первый раз б)никогда не останавливались другим исламом  который бел и пушист.Пожалуйста  примите к сведению хотя бы тот простой факт  что самоубийство в исламе - тяжелейший  и неисправимый грех. А при чем тут самоубийство? Взорваться среди неверных - это геройская смерть на пути джихада. То есть вернейший путь в рай. Вы  видать  такой  знаток   такой знаток...А так же то  что последователи Аль-Ваххаба занимаются как систематическим уничтожением духовенства традиционного Ислама  так и мусульманских святынь  что как бы проблематизирует отождествление вахаббизма и Ислама как такового  не так ли?  Во-первых - главнейшая мусло-святыни (Кааба в Мекке)находится в Саудовской Аравии  государственной религией которой является этот самый ваххабизм.Во-вторых - в 16 веке  во времена Реформации протестанты немало католических церквей порушили и католических священников в расход списали. Но никто почему-то на этом основании не говорит  что  сии деяния кальвинистов и анабаптистов   проблематизируют отождествление кальвинизма и христианства как такового .  \\Из чего следует  что Вы считате  что есть какой-то белый и пушистый ислам \\ - Всё равно непонятно  с чего Вы приписываете мне это мнение.//А при чем тут самоубийство? Взорваться среди неверных - это геройская смерть на пути джихада.;-1
Опрос я пропустила  но холивор про вагинальные осмотры встречала и раньше  он касался начала родов. Там  с одной стороны  как вы написали в комментах  — снаружи может быть не видно  что всё плохо  а с другой  — психика штука тонкая  и если всё было нормально  то процесс это может осложнить. Я сама думаю  что даже если всё было хорошо  а в итоге получилось внеплановое кесарево  — это всё равно лучше  чем если всё было плохо  но никто этого не заметил  и получилось не будет говорить что.Но вообще оный осмотр это жуткий напряг  конечно. У платных врачей  по моему опыту  нормально  а вот в поликлинике ощущение такое  как будто тупо раздирают до неописуемых размеров  и это зависит не от материала зеркала  а от повадок врача.Плюс ещё про осмотры  женщин и гинекологов  — можно найти тучу статей про здоровье  где сказано  как часто женщина должна ходить к гинекологу  какие процедуры терпеть (и оплачивать!)  и с какого возраста начиная (однажды я прочитала  что с 8 лет). Может  если специально искать  и найдётся статья про то  что мужчинам надо раз в полгода ходить к урологу  терпеть ощупывание простаты и сдавать что у них там вместо мазка  а начинать это богоугодное дело и вовсе в восемь лет... но я сомневаюсь  кроме того  мужчина на это забьёт. Мне иногда кажется  что военкоматы и армию придумали только для того  чтобы загонять их на осмотр хоть иногда :) И нефеминизм тут в том  что здоровье женщины почему-то не её личное дело  а принадлежит государству и всем подряд  а мужчина сам себе хозяин  пока запущенный простатит не приведёт его к врачу  а тот только и сможет  что развести руками.Я лично хожу к гинекологу ежегодно  и делаю то  что она считает нужным делать ежегодно.;0
Бунтарь...  Уго Чавес...Солдат... КомандантеСегодня  покинул  мир...И ангелы  тихо  поют сарабандуА  дьяволы  прут  на  пир...Дикарь...  настоящий... народный индеец(Он  коку  жевал  всю жизнь...)И верил    свободы  текила  и перец   -Лекарство  мужицких  жил...И горечь  матэ  заливая в  глотку  Тянул  бечевой  Страну...А  в  русских просторах морозной водкойИ баней  лечил  хандру...Чем  громче  фавелы  ему   молилисьСкандируя:    Уго -Любовь!  Тем  тише шептались  Гудзон с  Пикадилли...Нефть –  вурдалачья кровь ... В  морях  озверело  гребут  шаланды ...Булькает вязкий  груз ...Но  ламу   ведет   перевалом  в  АндыИндейский шаман Иисус ...http://stihi.ru/2013/03/06/12096  Спасибо! Мне нравиться.;0
Это имидж страны!Чума идет стороной.   Лучше бы этого события не было. Украдены миллиарды  бесполезно истрачены миллиарды.Они могли пойти на благо России  на благо людей.А в данный момент это  событие  напоминает голодранца  который на последние деньги купил толстую золотую цепь  и надел ее на рваную фуфайку.  Посмотрим на фотошоп про Сочиhttp://teh-nomad.livejournal.com/1907229.html  Позорный имидж позорной страны!  Уверен  что все будет готово.;-1
ассажиров  тем более если туда перекинуть ещё пару маршрутов.  Полоса ОТ на Ленина периодически используется троллейбусам для движения в депо(видимо  чтоб в пробке не стоять). Сам видел  как один из них ехал с машрутником 3-ки и табличкой в депо до Водников с попутным подбором пассажиров. Да Александр вы правы насчёт правого поворота с Маяковского на Маркса. Быстрее будет либо прямо или направо повернуть.  Пробка увеличится  но не очень сильно  тк. все на эту полосу кладут и спокойно едут по встречной полосе  благо там не автобусы идут навстречу  а блатные машины. Автобус ходит редко и его пропускают. То же и по Степанца- там машины спокойно едут в 2 ряда;-1
а де генерал армии?  1) Ефрейторов нет почему-то2) Никаких младших лейтенантов в армии РФ нет  а зачем тебе?)  я и учить не буду.....))))  Это погоны полиции ) Но  в принципе  уже не отличаются от погонов ВС  я тоже никогда не разбирался во всей этой истории с погонами)  и почему я думала  что звание младший лейтенант было упразднено? сама удивляюсь.  Я их за первый месяц в армии все запомнил)   Мы когда-то все звания на военном в школе учили. Смотрю  ничего и не поменялось с тех пор.   10)))) ахахха))))) сам не знал))))  а зачем?  а где ефрейтор?)  обычно подполковников в своей среде  при отсутствии старших  по званию всегда полковник называют ) ... ну там много нюансов  У меня муж военный  поэтому мне  волей неволей  пришлось  это выучить сразу после замужества!  ВопросПочему идет:Лейтенант- Майора у генералов: Генерал-Майор  Генерал-Лейтенант?!  А где ефрейтор?  мне тоже надо выучить  Я не знала и никогда этого не запомню)  младшего лейтенанта практически уже не бывает :)  У меня папа военный  я все это знала с детства.  капитан Очевидность? )  как на флоте?  а почему нет? я люблю военных  красивых  здоровенных)))) Надо же как-то их по званиям различать)  так и знала  что интернет где-то обманул ...  Кстати да  коллега )  Ну и да  это погоны полицейские )  Да  где ефрейторы!?  Капитан внутренней службы ))) у меня погоны были правда зеленые с малиновым просветом (войсковые - зеленые с алым)  там внизу написали)  Генерал-майор - одна звезда  как у майора.Генерал-лейтенант - две звезды  как у лейтенанта.Так нам на военной кафедре рассказывали )  от блин! Реально же так можно интерпретировать! Спасибо!;0
В основном местные знают где не засрано и чистое море. Там и купаемся. Который год езжу туда - чисто  хоть никто не убирает. А потому что вас там нет.   Вас ты имеешь ввиду и своих чумазиков не забывай да и ваще меня ваши чистые места не интересуют не парься купайся и радуйся жизни)) бгг любой местный меня отвезет в ваши девственные места)) вот только делать там реально нехер))кроме как релаксировать под звуки природы)) удачи воин))  =====....и ваще меня ваши чистые места не интересуют не парься....======Бгг... Чистые не интересуют? В чистых делать нехер? Хехе.. От вида чистого пляжа депресняк накрывает? Узнаю нашего  Руссо-туристо-облико-аморале !   Вы правы! Нам до их культуры ещё очень далеко.Они от рождения приучены к порядку.  да ваще если честно меня от замостийной накрывает угу.;-2
ично мне пузырьки и тюбики никакой радости не приносят (в отличие от примера детей с тамагочами)  одну только неловкость. И передаривать я их не могу  потому что натура не позволяет дарить Божу  что самому негоже. Если ресурсы переводят на радость детям  это совсем не плохо. Вот если бы родителей убеждали  что тамагоча - суперигрушка  а детям бы она на самом деле нафиг не сдалась - это была бы разводка типа Орифлейма.-----Но в целом нам не осталось о чём спорить: Вы меня убедили  что если сейчас в Орифлейме всё так  как Вы говорите  а не как я помню  то он действительно начально высокая агрессивность его продаж была издержками юности и мерой захвата рынка  а теперь он стал обычной сетью распространения товара  не имеющей заметных отличий (по уровню агрессивности или  пирамидогенной  доли в доходах распространителей) от традиционных продаж через магазины. Спасибо за информацию.  Спасибо и вам за дискуссию  было интересно и познавательно  Так же как и правым.  ну если они и ваш правый и свой левый через кассу не проводят грех на них обижаться  Вы  я чувствую  большой спец по борьбе с внутрикорпоративным жульничеством.Поделитесь опытом: как вы контролируете пробитие чека и правильность суммы?  я не знаю  поэтому вас и спросил  если бы в вашем ответе было поменьше сарказма и побольше по существу ответного вопроса и не возниклоесли я правильно понимаю для того чтобы продать свой товар они в обязательном порядке должны пускать его мимо кассы  это и был мой вопрос - но тогда они автоматически совершают если не уголовно  так минимум административно наказуемое деяние - или нет?..  Если продавца поймают за непробитием чека  или он пробьёт вместо 1050 105 0 и его поймают  то накажут по современным российским законам не его  а предпринимателя;0
  с другой стороны  очень хорошо  что Вильно не сделали областным центром БССР (в которой в советский период методично искоренялось буквально всё  что было связано с Речью Посполитой)  иначе он бы разделил участь Минска или Калининграда. В лучшем случае  он бы был превращён в заштатный областной центр наподобие соседних Витебска и Могилёва  в которых от старого города остались лишь жалкие фрагменты… Всё-таки  в советской Прибалтике коммунистический режим был не столь ортодоксальным  как в других регионах СССР  и прибалтам дозволялось многое из того  что на остальной части СССР всячески подавлялось и пресекалось.  Я всё это здесь говорю не по тому что хочу  выдать желаемое за действительное  но по тому что  позитивные тенденции есть и не видеть их  значит много пропустить или ещё хуже  когда я на пример слышу про какую то особую депрессию а за окном вижу другое мне начинается когнитивный диссонанс. Нельзя не видеть что экономика в сложном  жестоком и так далее глобальном мире заняла свою нишу  приспособилось стала конкурентоспособной. Про эмиграцию можно сказать что эмигрирует не обязательно те которые совсем не выживает  много таких которые успешные  образованые  здесь не только экономические причины. А сколько я могу судить 2 раза там был  нет в этой Англии ни кокого рая  кто видел тот согласится что все эти толпы африканцев  арабов и других совершенно не процветают как и большинство литовцев живёт очень не просто  однокомнатная квартира 100 фунтов в неделю в замусореных депрессивных кварталах (Лондон  весь очень грязный) без особых перспектив и так далее. Особенно больше там ни кто не получает  постоянна  легальная работа редкость  в итоге всё получается очень скромно. Всё другое мифы и легенды. Теперь не каждому подходит что начинатьнадо с гараздо нишей позиции чем было здесь;-2
